F2_001	406	0.01600416	0.002324761	0.216447478	-230.2327577
F2_068	826	0.219839286	1.00E-05	0.069554232	-443.9634607
F2_104	304	0.355180192	0.001839319	0.096874193	-223.7075946
F2_112	395	0.5	0.009335826	0.118314044	-273.3445216
F2_128	504	0.5	1.00E-05	0.152706131	-362.6912508
F2_132	202	0.5	0.490612229	0.181249499	-167.2972801
F2_140	200	0.274516808	0.059220398	0.056659509	-159.5557526
F2_156	323	0.125976006	1.00E-05	0.201549638	-253.424694
F2_164	893	0.208267027	1.00E-05	0.063612205	-478.8426557
F2_178	782	0.252902818	1.00E-05	0.054744736	-378.6571363
F2_226	328	0.041480555	1.00E-05	0.263083061	-231.7718698
F2_278	965	0.225635497	1.00E-05	1.00E-05	-352.7120644
F2_289	251	0.033041704	1.00E-05	0.218517213	-162.8912308
F2_291	960	0.207731925	1.00E-05	0.024679837	-414.4422675
F2_295	206	0.031474545	1.00E-05	0.217478758	-170.2488947
F2_331	317	0.296313597	0.002491512	0.123159131	-240.6443452
F2_347	341	0.032422032	1.00E-05	0.235807811	-216.8722073
F2_366	305	0.200206454	1.00E-05	0.166529586	-238.4630928
F2_369	348	0.043580252	1.00E-05	0.201603089	-214.2467454
F2_397	317	0.008622875	1.00E-05	0.21740174	-178.0622959
F2_463	276	0.004614244	1.00E-05	0.276056063	-187.9637295
F2_467	415	0.026017439	1.00E-05	0.20489868	-231.9585379
F2_480	244	0.27732987	1.00E-05	0.126728996	-187.7563355
F2_511	279	0.061148564	1.00E-05	0.249044511	-192.5831507
F2_605	824	0.236915501	1.00E-05	0.104833716	-494.3499425
F2_657	217	0.01489754	1.00E-05	0.220808029	-131.9484921
F2_754	494	0.030149833	1.00E-05	0.224205857	-273.734402
F2_798	207	0.5	0.5	0.478808427	-205.523014
F2_840	331	1.00E-05	1.00E-05	0.207183028	-171.7040111
F2_917	216	1.00E-05	1.00E-05	0.250840017	-148.7754545
F2_002	958	0.022296544	1.00E-05	0.023298773	-268.9796474
F2_003	972	0.008828653	1.00E-05	0.007151877	-211.657912
F2_006	904	0.024574989	0.001196816	0.048679071	-284.4960062
F2_008	945	0.020929342	1.00E-05	0.009733556	-217.7011145
F2_009	519	0.024200173	1.00E-05	0.14076529	-248.0096082
F2_011	308	0.073416358	1.00E-05	0.156804027	-220.0607181
F2_012	957	0.032944419	1.00E-05	0.010277422	-275.5757309
F2_013	949	0.037495136	1.00E-05	0.035202199	-332.3884638
F2_014	975	0.018608716	1.00E-05	1.00E-05	-213.9661342
F2_015	841	0.045578319	1.00E-05	0.074532545	-350.4238361
F2_016	961	0.030358875	1.00E-05	0.011076063	-252.5706486
F2_017	879	0.048269108	1.00E-05	0.059184235	-336.7610403
F2_018	975	0.023403916	1.00E-05	1.00E-05	-199.2216183
F2_019	657	0.050783008	1.00E-05	0.139840023	-340.1130479
F2_020	967	0.025097465	1.00E-05	0.007078672	-272.2286536
F2_022	931	0.025028615	1.00E-05	0.044667159	-300.6998849
F2_023	906	0.033660861	1.00E-05	0.035960884	-311.5196864
F2_024	616	0.040698628	1.00E-05	0.120094594	-310.9109077
F2_025	970	0.016324659	1.00E-05	0.002141961	-222.4611874
F2_029	271	0.091690361	1.00E-05	0.153798957	-183.7916089
F2_030	612	0.049186027	1.00E-05	0.13483792	-336.0471143
F2_031	451	0.02851641	1.00E-05	0.184061309	-251.9617027
F2_032	881	0.09938607	1.00E-05	0.058016735	-404.0977764
F2_034	564	0.028979997	1.00E-05	0.128194607	-297.0649426
F2_035	786	0.020065443	1.00E-05	0.097534355	-293.5125595
F2_038	713	0.039466949	1.00E-05	0.115916651	-332.4850477
F2_039	277	0.1334767	1.00E-05	0.199857155	-217.7278166
F2_040	956	0.057736735	1.00E-05	0.020658033	-291.6768134
F2_042	347	0.036401708	1.00E-05	0.178379599	-217.5421878
F2_045	910	0.028700967	1.00E-05	0.036926554	-323.2534984
F2_046	783	0.072386345	1.00E-05	0.102455836	-370.9022441
F2_047	540	0.012959297	0.004532012	0.162866074	-286.4412816
F2_050	749	0.024432195	1.00E-05	0.082257395	-336.751376
F2_051	957	0.195491134	1.00E-05	0.011763556	-388.3675273
F2_054	911	0.022521974	1.00E-05	0.057672969	-299.1737536
F2_055	372	0.068215748	1.00E-05	0.150945857	-245.6470992
